OBJECTID,WARD_CODE,WARD_NAME,YEAR,DISADVANTAGED_NUMBER,DISADVANTAGED_PC
117,E05010896,Easton,2019,506,28.2
118,E05010897,Eastville,2019,508,25.7
119,E05010898,Filwood,2019,1382,43.6
120,E05010899,Frome Vale,2019,400,29.5
121,E05010900,Hartcliffe & Withywood,2019,2036,48.4
122,E05010901,Henbury & Brentry,2019,672,34.1
123,E05010902,Hengrove & Whitchurch Park,2019,665,27.1
124,E05010903,Hillfields,2019,531,31.4
125,E05010904,Horfield,2019,400,26.6
126,E05010905,Hotwells & Harbourside,2019,58,25.9
127,E05010906,Knowle,2019,608,26.6
128,E05010907,Lawrence Hill,2019,1574,44.7
129,E05010908,Lockleaze,2019,740,34.4
130,E05010909,Redland,2019,54,2.6
131,E05010910,St George Central,2019,405,27.2
132,E05010911,St George Troopers Hill,2019,84,23.5
133,E05010912,St George West,2019,201,28.5
134,E05010913,Southmead,2019,773,33.5
135,E05010914,Southville,2019,143,11.1
136,E05010915,Stockwood,2019,346,23.9
137,E05010916,Stoke Bishop,2019,245,20.6
138,E05010917,Westbury-on-Trym & Henleaze,2019,133,4.9
139,E05010918,Windmill Hill,2019,359,21.8
140,E06000023,Bristol Average,2019,16456,27.7
141,E05010885,Ashley,2020,697,28.6
142,E05010886,Avonmouth & Lawrence Weston,2020,1225,33.3
143,E05010887,Bedminster,2020,202,15.6
144,E05010888,Bishopston & Ashley Down,2020,111,6.8
145,E05010889,Bishopsworth,2020,379,21.1
146,E05010890,Brislington East,2020,383,25.4
147,E05010891,Brislington West,2020,308,22.4
148,E05010892,Central,2020,312,40.6
149,E05010893,Clifton,2020,76,14
150,E05010894,Clifton Down,2020,39,10.3
151,E05010895,Cotham,2020,36,6.3
152,E05010896,Easton,2020,470,26.5
153,E05010897,Eastville,2020,491,25.2
154,E05010898,Filwood,2020,1395,44.8
155,E05010899,Frome Vale,2020,407,28.7
156,E05010900,Hartcliffe & Withywood,2020,2039,49.3
157,E05010901,Henbury & Brentry,2020,712,34.6
158,E05010902,Hengrove & Whitchurch Park,2020,724,28.2
159,E05010903,Hillfields,2020,529,30.5
160,E05010904,Horfield,2020,401,25.8
161,E05010905,Hotwells & Harbourside,2020,49,22.1
162,E05010906,Knowle,2020,568,26
163,E05010907,Lawrence Hill,2020,1545,44.4
164,E05010908,Lockleaze,2020,725,33.5
165,E05010909,Redland,2020,76,3.6
166,E05010910,St George Central,2020,412,27.9
167,E05010911,St George Troopers Hill,2020,92,23.8
168,E05010912,St George West,2020,179,25.2
169,E05010913,Southmead,2020,773,33.8
170,E05010914,Southville,2020,154,11.9
171,E05010915,Stockwood,2020,357,23.7
172,E05010916,Stoke Bishop,2020,256,21.5
173,E05010917,Westbury-on-Trym & Henleaze,2020,139,5
174,E05010918,Windmill Hill,2020,342,20.1
175,E06000023,Bristol Average,2020,16603,27.8
176,E05010885,Ashley,2021,612,26.8
177,E05010886,Avonmouth & Lawrence Weston,2021,1227,32.9
178,E05010887,Bedminster,2021,205,15.2
179,E05010888,Bishopston & Ashley Down,2021,98,5.9
180,E05010889,Bishopsworth,2021,368,20.4
181,E05010890,Brislington East,2021,382,25.3
182,E05010891,Brislington West,2021,308,22.3
183,E05010892,Central,2021,333,42.6
184,E05010893,Clifton,2021,81,15.6
185,E05010894,Clifton Down,2021,36,9.7
186,E05010895,Cotham,2021,33,5.8
187,E05010896,Easton,2021,452,25.3
188,E05010897,Eastville,2021,545,27.2
189,E05010898,Filwood,2021,1458,47.1
190,E05010899,Frome Vale,2021,416,28.6
191,E05010900,Hartcliffe & Withywood,2021,2067,50
192,E05010901,Henbury & Brentry,2021,689,34.1
193,E05010902,Hengrove & Whitchurch Park,2021,776,29.1
194,E05010903,Hillfields,2021,544,31.2
195,E05010904,Horfield,2021,421,26.3
196,E05010905,Hotwells & Harbourside,2021,46,20.4
197,E05010906,Knowle,2021,549,25.3
198,E05010907,Lawrence Hill,2021,1599,47.3
199,E05010908,Lockleaze,2021,728,33.4
200,E05010909,Redland,2021,61,2.9
201,E05010910,St George Central,2021,391,26.1
202,E05010911,St George Troopers Hill,2021,78,21.4
203,E05010912,St George West,2021,169,23.5
204,E05010913,Southmead,2021,800,34.5
205,E05010914,Southville,2021,170,13.2
206,E05010915,Stockwood,2021,343,22.7
207,E05010916,Stoke Bishop,2021,234,19.8
208,E05010917,Westbury-on-Trym & Henleaze,2021,148,5.2
209,E05010918,Windmill Hill,2021,350,20
210,E06000023,Bristol Average,2021,16717,27.9
211,E05010885,Ashley,2022,612,26
212,E05010886,Avonmouth & Lawrence Weston,2022,1273,34.7
213,E05010887,Bedminster,2022,226,16.7
214,E05010888,Bishopston & Ashley Down,2022,110,6.5
215,E05010889,Bishopsworth,2022,373,20.7
216,E05010890,Brislington East,2022,406,26.4
217,E05010891,Brislington West,2022,322,22.8
218,E05010892,Central,2022,298,35.9
219,E05010893,Clifton,2022,80,16.6
220,E05010894,Clifton Down,2022,33,8.8
221,E05010895,Cotham,2022,46,8.1
222,E05010896,Easton,2022,454,25.5
223,E05010897,Eastville,2022,538,26.5
224,E05010898,Filwood,2022,1471,48.1
225,E05010899,Frome Vale,2022,441,29.1
226,E05010900,Hartcliffe & Withywood,2022,2162,52
227,E05010901,Henbury & Brentry,2022,720,34.8
228,E05010902,Hengrove & Whitchurch Park,2022,835,29.5
229,E05010903,Hillfields,2022,534,29.6
230,E05010904,Horfield,2022,407,25.3
231,E05010905,Hotwells & Harbourside,2022,45,19.7
232,E05010906,Knowle,2022,549,25.8
233,E05010907,Lawrence Hill,2022,1535,46.5
234,E05010908,Lockleaze,2022,708,32.9
235,E05010909,Redland,2022,68,3.2
236,E05010910,St George Central,2022,402,27.4
237,E05010911,St George Troopers Hill,2022,85,22.5
238,E05010912,St George West,2022,168,23.6
239,E05010913,Southmead,2022,765,33.7
240,E05010914,Southville,2022,173,13.3
241,E05010915,Stockwood,2022,371,24.1
242,E05010916,Stoke Bishop,2022,237,19.8
243,E05010917,Westbury-on-Trym & Henleaze,2022,142,5
244,E05010918,Windmill Hill,2022,354,20.8
245,E06000023,Bristol Average,2022,16943,28.1
246,E05010885,Ashley,2023,667,28.4
247,E05010886,Avonmouth & Lawrence Weston,2023,1254,33.8
248,E05010887,Bedminster,2023,220,16
249,E05010888,Bishopston & Ashley Down,2023,118,6.8
250,E05010889,Bishopsworth,2023,365,19.9
251,E05010890,Brislington East,2023,441,27.8
252,E05010891,Brislington West,2023,346,24
253,E05010892,Central,2023,323,37.1
254,E05010893,Clifton,2023,88,18.4
255,E05010894,Clifton Down,2023,40,10.8
256,E05010895,Cotham,2023,52,9.3
257,E05010896,Easton,2023,475,27.1
258,E05010897,Eastville,2023,524,25.6
259,E05010898,Filwood,2023,1439,47.6
260,E05010899,Frome Vale,2023,451,29.3
261,E05010900,Hartcliffe & Withywood,2023,2130,51.4
262,E05010901,Henbury & Brentry,2023,706,34
263,E05010902,Hengrove & Whitchurch Park,2023,906,30.6
264,E05010903,Hillfields,2023,561,31
265,E05010904,Horfield,2023,405,24.8
266,E05010905,Hotwells & Harbourside,2023,55,23.5
267,E05010906,Knowle,2023,581,27.1
268,E05010907,Lawrence Hill,2023,1540,46.8
269,E05010908,Lockleaze,2023,720,32.8
270,E05010909,Redland,2023,88,4.2
271,E05010910,St George Central,2023,403,26.5
272,E05010911,St George Troopers Hill,2023,72,18.9
273,E05010912,St George West,2023,162,22.8
274,E05010913,Southmead,2023,752,33.2
275,E05010914,Southville,2023,181,13.5
276,E05010915,Stockwood,2023,359,23.2
277,E05010916,Stoke Bishop,2023,253,21
278,E05010917,Westbury-on-Trym & Henleaze,2023,154,5.4
279,E05010918,Windmill Hill,2023,364,21.3
280,E06000023,Bristol Average,2023,17195,28.3
